car_name,model,mileage(Km),year,condition,price(₦)
Toyota,Avensis,181851,2007,NigerianUsed,1466000
Toyota,Corolla,111372,2003,NigerianUsed,2250000
Toyota,Corolla,120024,2008,NigerianUsed,1466000
Mercedes-Benz,GL450,83432,2009,NigerianUsed,4154000
Hyundai,Tucson,159945,2009,NigerianUsed,1690000
Volkswagen,Touareg,110532,2012,NigerianUsed,4602000
Honda,Accord,26314,2016,NigerianUsed,4490000
Hyundai,I10,96875,2015,NigerianUsed,1914000
Toyota,Rav4,2198832,2004,NigerianUsed,1130000
Mercedes-Benz,E550,132304,2010,NigerianUsed,7290000
Toyota,Solara,216895,2004,NigerianUsed,1018000
Toyota,Camry,141311,2010,ForeignUsed,3930000
Toyota,Sienna,164461,2005,ForeignUsed,2810000
Nissan,Almera,120512,2003,NigerianUsed,906000
Toyota,Camry,86280,2015,NigerianUsed,5162000
Honda,Accord,457722,2003,NigerianUsed,651250
Toyota,Camry,186515,2010,ForeignUsed,4266000
Toyota,Sequoia,208558,2001,NigerianUsed,1018000
Toyota,Corolla,125482,2006,ForeignUsed,2250000
Toyota,Corolla,185416,2004,NigerianUsed,1186000
Hyundai,Ix35,79709,2011,NigerianUsed,3370000
Honda,Accord,96759,2014,ForeignUsed,4154000
Toyota,Camry,207749,2003,NigerianUsed,1130000
Toyota,4Runner,199322,2003,NigerianUsed,1802000
Toyota,Camry,267900,2003,NigerianUsed,1354000
Lexus,Rx,80580,2002,NigerianUsed,1578000
Toyota,Corolla,99998,2004,NigerianUsed,1466000
Toyota,Camry,782339,2000,NigerianUsed,1018000
Nissan,Maxima,133985,2010,NigerianUsed,2250000
Toyota,Corolla,186882,2006,NigerianUsed,2026000
Toyota,Corolla,293941,2005,NigerianUsed,1690000
Toyota,Hilux,185889,2008,NigerianUsed,4266000
Lexus,Rx,185228,2011,NigerianUsed,11210000
Toyota,Sienna,209111,2004,NigerianUsed,1354000
Nissan,Xterra,166299,2006,NigerianUsed,1130000
Toyota,Corolla,218877,2003,NigerianUsed,1914000
Nissan,Primera,111704,2002,NigerianUsed,861200
Toyota,Camry,101277,2007,NigerianUsed,1690000
Peugeot,307,212056,2004,NigerianUsed,1410000
Mercedes-Benz,Ml320,122264,2001,NigerianUsed,1074000
Hyundai,Elantra,108531,2013,NigerianUsed,2810000
Toyota,Camry,261870,2003,NigerianUsed,838800
Toyota,Avalon,86147,2007,ForeignUsed,2362000
Lexus,Rx,97795,2007,ForeignUsed,4490000
Ford,Explorer,132930,2011,ForeignUsed,6170000
Toyota,Matrix,118596,2009,NigerianUsed,2698000
Nissan,Pathfinder,167410,2002,NigerianUsed,794000
Nissan,Xterra,184194,2004,NigerianUsed,738000
Toyota,Fj,89455,2007,NigerianUsed,5050000
Mercedes-Benz,C240,142487,2004,NigerianUsed,906000
Toyota,Yaris,114550,2007,NigerianUsed,1074000
Toyota,Camry,156479,2007,NigerianUsed,2474000
Toyota,Highlander,131960,2002,NigerianUsed,1802000
Lexus,Rx,292570,2004,NigerianUsed,3594000
Toyota,Sienna,78472,2004,NigerianUsed,1690000
Toyota,Corolla,101182,2011,NigerianUsed,2474000
Honda,Accord,169945,2003,NigerianUsed,906000
Toyota,Sienna,268559,2002,NigerianUsed,906000
Mercedes-Benz,C300,194912,2008,NigerianUsed,3370000
Honda,Accord,46136,2010,NigerianUsed,2474000
Mazda,626,293913,1996,NigerianUsed,402000
Toyota,Camry,75888,2007,NigerianUsed,1802000
Mercedes-Benz,E350,110436,2011,ForeignUsed,6170000
Land,Rover,97332,2005,NigerianUsed,2026000
Honda,Accord,82084,2010,NigerianUsed,2026000
Chevrolet,Optra,134080,2009,NigerianUsed,1018000
Toyota,Corolla,270680,2003,NigerianUsed,1578000
Toyota,Avensis,168447,2006,ForeignUsed,1802000
