make,mileage(Km),year,condition,price(₦)
 Toyota Camry,207428,2004, Nigerian Used  ," 1,578,000                                        
                                    "
 Honda Accord,143376,2007, Nigerian Used  ," 962,000                                        
                                    "
 Kia Sportage,48042,2012, Nigerian Used  ," 2,474,000                                        
                                    "
 Honda Accord,45877,2014, Nigerian Used  ," 5,610,000                                        
                                    "
 Volkswagen Golf,83287,2008, Nigerian Used  ," 1,690,000                                        
                                    "
 Toyota Sienta,123749,2008, Nigerian Used  ," 1,186,000                                        
                                    "
Toyota Venza ,187497,2009, Nigerian Used  ," 4,490,000                                        
                                    "
 Lexus Is 350,138024,2010, Foreign Used  ," 6,506,000                                        
                                    "
 Chevrolet REZZO,133198,2003, Foreign Used  ," 1,802,000                                        
                                    "
 Toyota Camry,120360,2007, Nigerian Used  ," 2,586,000                                        
                                    "
 Toyota Camry,92331,2007, Nigerian Used  ," 2,810,000                                        
                                    "
 Mazda 3,88829,2009, Foreign Used  ," 2,138,000                                        
                                    "
 Hyundai Sonata,265279,2009, Foreign Used  ," 2,810,000                                        
                                    "
 Toyota Camry,249606,2002, Nigerian Used  ," 1,354,000                                        
                                    "
 Peugeot 306,181021,2003, Nigerian Used  ," 794,000                                        
                                    "
 Honda Accord,187882,2008, Nigerian Used  ," 1,242,000                                        
                                    "
 Toyota Matrix,89391,2007, Foreign Used  ," 2,810,000                                        
                                    "
 Toyota Camry,194621,2004, Nigerian Used  ," 1,634,000                                        
                                    "
 Toyota Corolla,96347,2013, Nigerian Used  ," 2,866,000                                        
                                    "
 Hyundai Elantra,256932,2004, Nigerian Used  ," 932,500                                        
                                    "
Toyota Avensis ,153987,2001, Nigerian Used  ," 962,000                                        
                                    "
 Hyundai Accent,112233,2011, Nigerian Used  ," 850,000                                        
                                    "
 Toyota Venza,148334,2011, Nigerian Used  ," 5,162,000                                        
                                    "
 Hyundai Sonata,52252,2011, Nigerian Used  ," 2,362,000                                        
                                    "
 Mercedes-Benz Gl550,52918,2008, Nigerian Used  ," 5,050,000                                        
                                    "
Toyota Sienna ,124270,2012, Nigerian Used  ," 3,157,000                                        
                                    "
 Kia Sorento,181197,2010, Nigerian Used  ," 2,810,000                                        
                                    "
 Toyota Sienna,111436,2005, Nigerian Used  ," 1,522,000                                        
                                    "
Lexus Lx 470,245546,0000, Nigerian Used  ," 1,690,000                                        
                                    "
 Kia Sedona,107965,2006, Nigerian Used  ," 1,690,000                                        
                                    "
 Mercedes-Benz E300,43774,2017, Foreign Used  ," 23,754,000                                        
                                    "
 Ford Focus,208524,2003, Nigerian Used  ," 906,000                                        
                                    "
 Mercedes-Benz C320,256781,2001, Nigerian Used  ," 794,000                                        
                                    "
