make,mileage(Km),year,condition,price(₦)
 Toyota Matrix,265694,2003, Foreign Used  ," 2,372,500                                        
                                    "
 Toyota Corolla,230861,2005, Nigerian Used  ," 2,082,000                                        
                                    "
 Honda Pilot,183262,2003, Foreign Used  ," 1,522,000                                        
                                    "
 Chevrolet Aveo,227522,2007, Nigerian Used  ," 715,600                                        
                                    "
 Peugeot 301,13520,2013, Nigerian Used  ," 2,362,000                                        
                                    "
 GAC GA3-S,60071,2018, Nigerian Used  ," 2,810,000                                        
                                    "
 Honda Accord,92048,2010, Nigerian Used  ," 2,474,000                                        
                                    "
 Lexus GX470,6021,2003, Foreign Used  ," 4,490,000                                        
                                    "
 Acura Mdx,323658,2001, Nigerian Used  ," 738,000                                        
                                    "
 Toyota Corolla,36246,2010, Foreign Used  ," 3,370,000                                        
                                    "
 Mercedes-Benz E320,94865,2003, Nigerian Used  ," 1,130,000                                        
                                    "
 Toyota Highlander,105767,2009, Foreign Used  ," 5,834,000                                        
                                    "
 Nissan Sentra,119311,2009, Foreign Used  ," 2,026,000                                        
                                    "
 Honda Accord Crosstour,234248,2010, Foreign Used  ," 4,154,000                                        
                                    "
 Lexus Gx 460,72192,2014, Foreign Used  ," 16,810,000                                        
                                    "
 Mercedes-Benz M-CLASS,110066,2009, Foreign Used  ," 6,170,000                                        
                                    "
 Mercedes-Benz C-CLASS,194561,2009, Foreign Used  ," 3,930,000                                        
                                    "
 Toyota Sienna,106139,2010, Foreign Used  ," 3,146,000                                        
                                    "
 Mercedes-Benz C300,120000,2015, Foreign Used  ," 11,210,000                                        
                                    "
 Land Rover Lr3,19416,2006, Nigerian Used  ," 1,690,000                                        
                                    "
 Mercedes-Benz GLK 350,103058,2013, Foreign Used  ," 10,090,000                                        
                                    "
 Toyota 4Runner,285219,1999, Nigerian Used  ," 962,000                                        
                                    "
 Ford Edge,89698,2007, Nigerian Used  ," 2,250,000                                        
                                    "
 Toyota Corolla,219882,2008, Nigerian Used  ," 1,802,000                                        
                                    "
 Land Rover Range Rover Vogue,46887,2010, Nigerian Used  ," 3,930,000                                        
                                    "
 Dodge Challenger,54427,2012, Nigerian Used  ," 7,626,000                                        
                                    "
 Mitsubishi Montero,219466,1997, Nigerian Used  ," 682,000                                        
                                    "
 Lexus Es 350,162161,2007, Foreign Used  ," 4,378,000                                        
                                    "
 Toyota Sienna,224145,2007, Nigerian Used  ," 2,250,000                                        
                                    "
 Peugeot 307,363645,2001, Nigerian Used  ," 962,000                                        
                                    "
 Toyota Yaris,217524,2008, Nigerian Used  ," 1,298,000                                        
                                    "
 Toyota Camry,200669,2009, Foreign Used  ," 3,258,000                                        
                                    "
 Toyota Avalon,127626,2005, Foreign Used  ," 2,586,000                                        
                                    "
 Hyundai Tucson,19258,2019, Nigerian Used  ," 12,890,000                                        
                                    "
 Toyota Camry,115682,2007, Nigerian Used  ," 1,802,000                                        
                                    "
 Ford Edge,84224,2013, Nigerian Used  ," 5,386,000                                        
                                    "
 Mazda Cx-7,167692,2007, Nigerian Used  ," 2,026,000                                        
                                    "
 Jeep Commander,140340,2007, Nigerian Used  ," 2,586,000                                        
                                    "
 Toyota Camry,159279,2007, Nigerian Used  ," 2,026,000                                        
                                    "
 Honda Cr-V,19717,2018, Nigerian Used  ," 16,810,000                                        
                                    "
 Toyota Avalon,188685,2004, Nigerian Used  ," 1,018,000                                        
                                    "
 Honda Accord,83519,2008, Nigerian Used  ," 1,466,000                                        
                                    "
 Acura Mdx,286718,2001, Nigerian Used  ," 910,000                                        
                                    "
 Lexus Is 250,207206,2007, Nigerian Used  ," 1,522,000                                        
                                    "
 Mercedes-Benz C300,102874,2011, Nigerian Used  ," 3,594,000                                        
                                    "
 Mercedes-Benz C220 Cdi,76045,2006, Foreign Used  ," 1,472,500                                        
                                    "
 Peugeot 508,53029,2016, Nigerian Used  ," 10,090,000                                        
                                    "
 Acura Rdx,74925,2008, Nigerian Used  ," 2,474,000                                        
                                    "
 Mercedes-Benz C230,150617,2006, Foreign Used  ," 2,474,000                                        
                                    "
 Volkswagen Golf,392225,1995, Nigerian Used  ," 794,000                                        
                                    "
 Toyota Corolla,129405,2009, Nigerian Used  ," 1,242,000                                        
                                    "
 Ford Ecosport,75259,2011, Nigerian Used  ," 3,594,000                                        
                                    "
 Toyota Camry,139364,2007, Foreign Used  ," 2,810,000                                        
                                    "
 Toyota Venza,93006,2010, Nigerian Used  ," 4,378,000                                        
                                    "
 Hyundai Elantra,108146,2013, Nigerian Used  ," 2,586,000                                        
                                    "
Lexus Rx 330 ,144570,2005, Nigerian Used  ," 2,474,000                                        
                                    "
 Nissan Pathfinder,104627,2007, Foreign Used  ," 3,370,000                                        
                                    "
 Volkswagen Passat,121822,2009, Nigerian Used  ," 2,250,000                                        
                                    "
 Hyundai Tucson,107178,2010, Nigerian Used  ," 3,034,000                                        
                                    "
 Acura Tl,160439,2012, Foreign Used  ," 4,490,000                                        
                                    "
 Peugeot 407,200009,2005, Nigerian Used  ," 906,000                                        
                                    "
Lexus Gx 470 ,218815,2004, Nigerian Used  ," 2,810,000                                        
                                    "
 Mazda 5,78757,2012, Nigerian Used  ," 1,522,000                                        
                                    "
 Mercedes-Benz C300,54410,2015, Foreign Used  ," 11,210,000                                        
                                    "
 Peugeot 407,256781,2003, Nigerian Used  ," 850,000                                        
                                    "
 Lexus Rx 330,269051,2005, Nigerian Used  ," 3,370,000                                        
                                    "
 Peugeot 407,104170,2006, Nigerian Used  ," 1,130,000                                        
                                    "
 Toyota Sienna,180800,2000, Nigerian Used  ," 906,000                                        
                                    "
 Pontiac Vibe,259241,2005, Nigerian Used  ," 1,802,000                                        
                                    "
 Toyota Corolla,92697,2005, Nigerian Used  ," 1,914,000                                        
                                    "
 Toyota Camry,167314,2002, Nigerian Used  ," 1,242,000                                        
                                    "
 Honda Accord,244353,2003, Nigerian Used  ," 850,000                                        
                                    "
 Acura Mdx,108392,2007, Nigerian Used  ," 2,474,000                                        
                                    "
 Nissan Altima,193836,2008, Nigerian Used  ," 1,130,000                                        
                                    "
 Toyota Sienna,192677,2004, Foreign Used  ," 2,922,000                                        
                                    "
 Toyota 4Runner,92458,2005, Nigerian Used  ," 2,026,000                                        
                                    "
 Land Rover Lr3,147742,2006, Nigerian Used  ," 1,690,000                                        
                                    "
 Mercedes-Benz G63,65839,2015, Foreign Used  ," 34,000,000                                        
                                    "
 Mercedes-Benz E320,900022,2003, Nigerian Used  ," 1,690,000                                        
                                    "
 Subaru Legacy,181164,2003, Nigerian Used  ," 682,000                                        
                                    "
 Mercedes-Benz E350,182872,2006, Foreign Used  ," 3,370,000                                        
                                    "
 Jaguar XE,30972,2017, Foreign Used  ," 12,330,000                                        
                                    "
 Toyota BUS,684197,2000, Foreign Used  ," 10,650,000                                        
                                    "
 Toyota Corolla,172142,2009, Foreign Used  ," 3,706,000                                        
                                    "
 Lincoln Town Car,401142,2006, Nigerian Used  ," 2,474,000                                        
                                    "
 Mercedes-Benz S550,70383,2007, Nigerian Used  ," 3,930,000                                        
                                    "
 Toyota Highlander,77339,2012, Nigerian Used  ," 4,714,000                                        
                                    "
 MERCEDES BENZ C230,234007,2006, Nigerian Used  ," 1,242,000                                        
                                    "
 Toyota Rav4,154309,2010, Foreign Used  ," 5,050,000                                        
                                    "
 Mitsubishi Galant,166465,2007, Nigerian Used  ," 906,000                                        
                                    "
 Honda Odyssey,108713,2011, Nigerian Used  ," 2,698,000                                        
                                    "
 Toyota Sienna,146297,2007, Nigerian Used  ," 2,250,000                                        
                                    "
 Toyota Camry,123364,2009, Foreign Used  ," 2,922,000                                        
                                    "
 Honda Civic,128600,2012, Nigerian Used  ," 3,034,000                                        
                                    "
 Land Rover Lr3,154815,2006, Nigerian Used  ," 1,130,000                                        
                                    "
 Toyota Avalon,56335,2018, Foreign Used  ," 15,690,000                                        
                                    "
 Lexus Is 250,134931,2006, Nigerian Used  ," 2,922,000                                        
                                    "
 Toyota Avalon,174077,1997, Nigerian Used  ," 682,000                                        
                                    "
 Mercedes-Benz C300,27901,2015, Nigerian Used  ," 8,074,000                                        
                                    "
 Toyota Camry,125705,2007, Nigerian Used  ," 2,026,000                                        
                                    "
 Toyota Corolla,16712,2016, Foreign Used  ," 4,714,000                                        
                                    "
 Honda Pilot,199297,2009, Nigerian Used  ," 2,000,000                                        
                                    "
 Toyota Camry,269677,2003, Foreign Used  ," 2,283,600                                        
                                    "
 Toyota Camry,129024,2012, Foreign Used  ," 4,714,000                                        
                                    "
Lexus Rx 350 ,211169,2008, Foreign Used  ," 3,594,000                                        
                                    "
 Toyota Rav4,60724,2014, Nigerian Used  ," 6,730,000                                        
                                    "
 Toyota Yaris,110984,2008, Nigerian Used  ," 1,421,200                                        
                                    "
 Mercedes-Benz C200,243,2003, Nigerian Used  ," 906,000                                        
                                    "
 Mercedes-Benz E350,71869,2006, Foreign Used  ," 2,586,000                                        
                                    "
 Chevrolet Venture,128773,2004, Nigerian Used  ," 1,006,800                                        
                                    "
 Toyota Corolla,83137,2016, Foreign Used  ," 4,714,000                                        
                                    "
 Honda Accord,162281,2008, Foreign Used  ," 1,746,000                                        
                                    "
 Toyota Corolla,54344,2015, Nigerian Used  ," 4,490,000                                        
                                    "
 Toyota Fj Cruiser,116766,2007, Nigerian Used  ," 7,290,000                                        
                                    "
 Toyota Corolla,41721,2016, Foreign Used  ," 4,714,000                                        
                                    "
 Toyota Corolla,113017,2004, Nigerian Used  ," 1,802,000                                        
                                    "
 Honda Odyssey,88737,2012, Nigerian Used  ," 2,026,000                                        
                                    "
 Toyota Camry,144055,2008, Nigerian Used  ," 2,362,000                                        
                                    "
 Lexus Es 350,104757,2007, Nigerian Used  ," 2,935,000                                        
                                    "
 Nissan Pathfinder,70168,2007, Nigerian Used  ," 2,026,000                                        
                                    "
 Volkswagen Touran,314545,2003, Nigerian Used  ," 659,600                                        
                                    "
 Toyota Highlander,136414,2003, Nigerian Used  ," 1,578,000                                        
                                    "
 Toyota Camry,285734,1997, Nigerian Used  ," 570,000                                        
                                    "
 Toyota Venza,90531,2009, Nigerian Used  ," 3,482,000                                        
                                    "
 Toyota Camry,87966,2007, Nigerian Used  ," 1,802,000                                        
                                    "
 Ford Explorer,50368,2016, Foreign Used  ," 16,810,000                                        
                                    "
 Toyota Harrier,410472,2000, Nigerian Used  ," 1,130,000                                        
                                    "
 Mercedes-Benz C300,1111,2008, Foreign Used  ," 3,370,000                                        
                                    "
 Kia Rio,53653,2013, Nigerian Used  ," 1,697,500                                        
                                    "
 Volkswagen Passat,75753,2013, Nigerian Used  ," 3,146,000                                        
                                    "
 Toyota Camry,183418,2006, Nigerian Used  ," 1,354,000                                        
                                    "
 Toyota Rav4,102327,2007, Nigerian Used  ," 2,250,000                                        
                                    "
 Toyota Sienna,218172,2011, Nigerian Used  ," 4,490,000                                        
                                    "
 Mercedes-Benz GL450,111111,2007, Nigerian Used  ," 3,706,000                                        
                                    "
 Lexus GS 350,169584,2008, Nigerian Used  ," 3,930,000                                        
                                    "
 Lexus GX470,72540,2007, Nigerian Used  ," 4,490,000                                        
                                    "
 Mitsubishi Pajero,145987,2011, Foreign Used  ," 5,050,000                                        
                                    "
 Toyota Avalon,208913,2005, Nigerian Used  ," 1,914,000                                        
                                    "
 Toyota Corolla,150213,2008, Nigerian Used  ," 1,578,000                                        
                                    "
 Toyota Camry,320072,2002, Nigerian Used  ," 1,354,000                                        
                                    "
 Mercedes-Benz GLE350,66617,2016, Foreign Used  ," 20,170,000                                        
                                    "
 Ford Edge,179200,2008, Nigerian Used  ," 1,690,000                                        
                                    "
 Lexus Rx 300,1870,2000, Foreign Used  ," 3,090,000                                        
                                    "
Lexus Es 350 ,169656,2007, Nigerian Used  ," 3,594,000                                        
                                    "
 Honda Accord,321568,2003, Nigerian Used  ," 906,000                                        
                                    "
 Toyota Corolla,167524,2007, Foreign Used  ," 2,664,400                                        
                                    "
 Ford E-Series,232683,2012, Foreign Used  ," 5,610,000                                        
                                    "
 Mazda 626,290518,1998, Nigerian Used  ," 626,000                                        
                                    "
 Mercedes-Benz CLS 350,99227,2005, Nigerian Used  ," 1,690,000                                        
                                    "
 Honda Accord Crosstour,135328,2010, Nigerian Used  ," 2,250,000                                        
                                    "
 Kia Cerato,197687,2008, Nigerian Used  ," 1,130,000                                        
                                    "
 Toyota Rav4,233456,2006, Nigerian Used  ," 3,370,000                                        
                                    "
 Toyota Camry,39974,2007, Nigerian Used  ," 2,026,000                                        
                                    "
 Toyota Highlander,48668,2016, Nigerian Used  ," 8,634,000                                        
                                    "
 Mercedes-Benz Ml350,114524,2006, Nigerian Used  ," 3,146,000                                        
                                    "
 Toyota Highlander,157010,2008, Nigerian Used  ," 3,930,000                                        
                                    "
 Skoda Octavia,45879,2012, Nigerian Used  ," 1,802,000                                        
                                    "
 Toyota Camry,231228,2002, Nigerian Used  ," 1,354,000                                        
                                    "
 Ford SMAX,285474,2009, Nigerian Used  ," 2,250,000                                        
                                    "
 Cadillac Srx,232504,2010, Nigerian Used  ," 3,370,000                                        
                                    "
 Toyota Tundra,113100,2007, Nigerian Used  ," 6,170,000                                        
                                    "
 Toyota Corolla,113834,2005, Nigerian Used  ," 2,026,000                                        
                                    "
 Kia Sedona,206870,2007, Nigerian Used  ," 1,130,000                                        
                                    "
 Honda Accord,164763,2006, Nigerian Used  ," 1,466,000                                        
                                    "
 Toyota Highlander,152321,2001, Nigerian Used  ," 1,914,000                                        
                                    "
 Toyota Camry,145156,2002, Nigerian Used  ," 1,354,000                                        
                                    "
 Toyota Camry,164151,2005, Nigerian Used  ," 1,634,000                                        
                                    "
 Toyota Sequoia,5286,2005, Nigerian Used  ," 1,690,000                                        
                                    "
 Toyota Camry,140388,2005, Nigerian Used  ," 1,354,000                                        
                                    "
 Kia Cerato,45868,2010, Nigerian Used  ," 1,018,000                                        
                                    "
 Honda Pilot,1010,2003, Nigerian Used  ," 1,634,000                                        
                                    "
 Honda Odyssey,215312,2010, Foreign Used  ," 3,370,000                                        
                                    "
 Honda Accord,209833,2008, Nigerian Used  ," 1,746,000                                        
                                    "
 Mercedes-Benz GL450,87660,2011, Nigerian Used  ," 5,554,000                                        
                                    "
 Toyota Sienna,214532,2002, Nigerian Used  ," 1,354,000                                        
                                    "
 Toyota Camry,95252,2009, Foreign Used  ," 2,698,000                                        
                                    "
 GMC Acadia,112892,2014, Nigerian Used  ," 5,162,000                                        
                                    "
 Lexus Es 350,99751,2007, Nigerian Used  ," 3,034,000                                        
                                    "
 Toyota Camry,129315,2007, Nigerian Used  ," 1,802,000                                        
                                    "
 Hyundai Veloster,33027,2013, Nigerian Used  ," 2,922,000                                        
                                    "
 Toyota Corolla,25740,2015, Foreign Used  ," 6,170,000                                        
                                    "
 Ford Explorer,156239,2013, Foreign Used  ," 7,290,000                                        
                                    "
 Chevrolet Epica,144346,2009, Nigerian Used  ," 1,914,000                                        
                                    "
 Toyota Tundra,101196,2011, Foreign Used  ," 11,260,000                                        
                                    "
 Toyota Corolla,81896,2010, Nigerian Used  ," 2,362,000                                        
                                    "
 Toyota Venza,71484,2015, Nigerian Used  ," 5,610,000                                        
                                    "
 Toyota Rav4,181469,2002, Nigerian Used  ," 1,130,000                                        
                                    "
 Toyota Highlander,263078,2009, Nigerian Used  ," 3,370,000                                        
                                    "
 Honda Cr-V,182493,2008, Nigerian Used  ," 2,026,000                                        
                                    "
 Ford Edge,147267,2014, Nigerian Used  ," 5,050,000                                        
                                    "
 Toyota Highlander,93857,2007, Nigerian Used  ," 4,714,000                                        
                                    "
 Toyota Highlander,173874,2008, Nigerian Used  ," 2,822,500                                        
                                    "
 Toyota Corolla,66899,2011, Foreign Used  ," 3,706,000                                        
                                    "
 Mercedes-Benz C300,133047,2009, Nigerian Used  ," 2,810,000                                        
                                    "
 Land Rover Range Rover Sport,72071,2010, Nigerian Used  ," 5,050,000                                        
                                    "
 Toyota Sienna,159434,2004, Foreign Used  ," 2,810,000                                        
                                    "
 Toyota Solara,1010,2004, Nigerian Used  ," 1,746,000                                        
                                    "
 Mazda 6,91334,2007, Nigerian Used  ," 794,000                                        
                                    "
 Peugeot 307,165848,2008, Nigerian Used  ," 906,000                                        
                                    "
 Lexus Rx 300,164,2000, Nigerian Used  ," 1,690,000                                        
                                    "
 Mercedes-Benz E550,30121,2011, Nigerian Used  ," 4,490,000                                        
                                    "
 Lexus Es 330,63726,2006, Nigerian Used  ," 2,138,000                                        
                                    "
 Lexus Is 250,83378,2008, Nigerian Used  ," 2,586,000                                        
                                    "
 Kia Rio,97704,2011, Nigerian Used  ," 906,000                                        
                                    "
 Mercedes-Benz Ml350,102445,2013, Foreign Used  ," 13,002,000                                        
                                    "
 Suzuki XL-7,218686,2001, Nigerian Used  ," 514,000                                        
                                    "
 Volvo XC 60,105108,2011, Nigerian Used  ," 3,594,000                                        
                                    "
 Ford Edge,316622,2011, Nigerian Used  ," 2,810,000                                        
                                    "
 Infiniti Qx4,226429,1997, Nigerian Used  ," 738,000                                        
                                    "
 Lexus Gs 300,137698,2006, Foreign Used  ," 3,706,000                                        
                                    "
 Mercedes-Benz Ml500,167308,2003, Nigerian Used  ," 1,578,000                                        
                                    "
 Toyota Highlander,75139,2002, Nigerian Used  ," 2,026,000                                        
                                    "
 Land Rover Range Rover Sport,187052,2009, Nigerian Used  ," 5,610,000                                        
                                    "
Lexus Es 350 ,64717,2007, Nigerian Used  ," 3,706,000                                        
                                    "
 Land Rover RANGE ROVER,140000,2004, Nigerian Used  ," 2,250,000                                        
                                    "
 Toyota Venza,114375,2010, Foreign Used  ," 5,610,000                                        
                                    "
 Lexus Gx 470,163151,2004, Nigerian Used  ," 3,930,000                                        
                                    "
 Mercedes-Benz Sprinter,604158,2007, Nigerian Used  ," 4,490,000                                        
                                    "
 Mercedes-Benz a170,247568,2003, Foreign Used  ," 1,466,000                                        
                                    "
 Toyota Sienna,211709,2000, Nigerian Used  ," 1,242,000                                        
                                    "
 Jeep Liberty,89781,2012, Nigerian Used  ," 4,266,000                                        
                                    "
 Hyundai Santa Fe,197923,2004, Nigerian Used  ," 1,247,500                                        
                                    "
 Toyota Venza,113446,2013, Nigerian Used  ," 4,826,000                                        
                                    "
 Nissan Versa,84236,2014, Foreign Used  ," 2,810,000                                        
                                    "
 Honda Accord,69811,2016, Nigerian Used  ," 5,050,000                                        
                                    "
 Hyundai Sonata,106382,2012, Foreign Used  ," 3,034,000                                        
                                    "
 Toyota Rav4,152277,2006, Nigerian Used  ," 1,858,000                                        
                                    "
 Volkswagen Passat,125452,2008, Nigerian Used  ," 1,354,000                                        
                                    "
 Peugeot 508,71227,2014, Nigerian Used  ," 3,370,000                                        
                                    "
 Hyundai Santa Fe,198052,2007, Foreign Used  ," 2,810,000                                        
                                    "
 Toyota Matrix,206044,2003, Nigerian Used  ," 1,578,000                                        
                                    "
 Mercedes-Benz Gl420,63085,2013, Nigerian Used  ," 15,690,000                                        
                                    "
 Toyota Camry,76090,2013, Foreign Used  ," 5,610,000                                        
                                    "
 Lexus Es,148410,2008, Nigerian Used  ," 3,370,000                                        
                                    "
 Volkswagen Touareg,183839,2004, Nigerian Used  ," 1,690,000                                        
                                    "
 Toyota Sienna,179750,2013, Nigerian Used  ," 3,930,000                                        
                                    "
 Kia Optima,111140,2012, Nigerian Used  ," 2,700,000                                        
                                    "
 Kia RIO,127373,2013, Nigerian Used  ," 1,690,000                                        
                                    "
 Toyota Corolla,211181,2008, Nigerian Used  ," 1,018,000                                        
                                    "
 Honda Accord,411658,2008, Nigerian Used  ," 1,410,000                                        
                                    "
 Land Rover Range Rover HSE,167396,2008, Nigerian Used  ," 2,586,000                                        
                                    "
 Kia K,113527,2013, Foreign Used  ," 4,042,000                                        
                                    "
 Toyota Solara,132931,2004, Nigerian Used  ," 1,354,000                                        
                                    "
 Nissan Altima,199759,2005, Nigerian Used  ," 682,000                                        
                                    "
 Nissan Altima,44140,2014, Nigerian Used  ," 3,370,000                                        
                                    "
 Ford Taurus,167869,2008, Nigerian Used  ," 1,298,000                                        
                                    "
 Toyota Camry,236315,2000, Nigerian Used  ," 962,000                                        
                                    "
 Toyota Camry,244360,1995, Nigerian Used  ," 420,000                                        
                                    "
 Toyota Camry,54247,2012, Foreign Used  ," 4,938,000                                        
                                    "
 Mini Cooper,319211,2002, Nigerian Used  ," 906,000                                        
                                    "
 Volkswagen Passat,11,2006, Nigerian Used  ," 1,130,000                                        
                                    "
 Kia Sportage,147916,2008, Nigerian Used  ," 1,354,000                                        
                                    "
 Toyota Camry,315410,2002, Nigerian Used  ," 1,018,000                                        
                                    "
 Lexus Lx 570,11886,2016, Foreign Used  ," 60,900,000                                        
                                    "
 Toyota Avalon,245948,2000, Nigerian Used  ," 906,000                                        
                                    "
 Mercedes-Benz C300,141038,2010, Foreign Used  ," 3,594,000                                        
                                    "
 Nissan Quest,185804,2008, Nigerian Used  ," 1,360,000                                        
                                    "
 Mercedes-Benz E350,65126,2010, Nigerian Used  ," 4,490,000                                        
                                    "
 Nissan Altima,190209,2012, Nigerian Used  ," 2,250,000                                        
                                    "
 Lexus Es 350,73033,2009, Nigerian Used  ," 3,594,000                                        
                                    "
 Mercedes-Benz E350,86981,2007, Nigerian Used  ," 1,802,000                                        
                                    "
 Toyota Rav4,129937,2008, Nigerian Used  ," 2,586,000                                        
                                    "
 Honda Accord,150026,2008, Nigerian Used  ," 1,690,000                                        
                                    "
 Chrysler Sebring,191755,2004, Nigerian Used  ," 1,130,000                                        
                                    "
 Toyota Avalon,206142,2003, Nigerian Used  ," 1,242,000                                        
                                    "
 Chrysler Town & Country,119631,2005, Nigerian Used  ," 570,000                                        
                                    "
,108790,2011, Foreign Used  ," 2,485,000                                        
                                    "
 Toyota Matrix,87896,2010, Foreign Used  ," 3,930,000                                        
                                    "
 Infiniti Qx56,166297,2004, Foreign Used  ," 4,490,000                                        
                                    "
 Toyota Land Cruiser,1544,2007, Nigerian Used  ," 4,490,000                                        
                                    "
 Mercedes-Benz GL450,122890,2007, Nigerian Used  ," 3,034,000                                        
                                    "
 Toyota Corolla,78854,2005, Foreign Used  ," 2,866,000                                        
                                    "
 Mercedes-Benz GL-CLASS,104242,2013, Foreign Used  ," 16,810,000                                        
                                    "
 Lexus Rx 300,183984,1999, Nigerian Used  ," 1,163,600                                        
                                    "
 Toyota Corolla,299999,2004, Nigerian Used  ," 1,802,000                                        
                                    "
 Ford Focus,36765,2016, Nigerian Used  ," 4,490,000                                        
                                    "
 Mitsubishi SpaceStar,133702,2001, Nigerian Used  ," 626,000                                        
                                    "
 Lexus Gx 470,154032,2008, Foreign Used  ," 7,850,000                                        
                                    "
 Lexus Gx 470,110044,2005, Nigerian Used  ," 3,494,500                                        
                                    "
 Mercedes-Benz C320,241966,2004, Nigerian Used  ," 1,466,000                                        
                                    "
 Hyundai Elantra,160243,2008, Foreign Used  ," 2,082,000                                        
                                    "
 Toyota Venza,168746,2010, Nigerian Used  ," 6,170,000                                        
                                    "
 Ford Explorer,275643,2002, Nigerian Used  ," 1,130,000                                        
                                    "
 Toyota Highlander,67400,2008, Nigerian Used  ," 5,050,000                                        
                                    "
 Toyota Camry,190561,2002, Nigerian Used  ," 1,466,000                                        
                                    "
 Land Rover Lr3,143852,2006, Nigerian Used  ," 1,914,000                                        
                                    "
 Toyota Corolla,13470,2016, Nigerian Used  ," 5,946,000                                        
                                    "
 range rover HSE,192990,2006, Nigerian Used  ," 3,370,000                                        
                                    "
 Toyota Corolla,86714,2017, Foreign Used  ," 8,970,000                                        
                                    "
 Toyota Camry,230545,2011, Foreign Used  ," 3,930,000                                        
                                    "
 Toyota Sienna,320092,2006, Nigerian Used  ," 1,802,000                                        
                                    "
 Lexus Gx 460,45889,2015, Nigerian Used  ," 16,810,000                                        
                                    "
 Mercedes-Benz C230,126999,2006, Nigerian Used  ," 2,698,000                                        
                                    "
 Toyota Highlander,273080,2006, Foreign Used  ," 3,818,000                                        
                                    "
 Toyota Highlander,92434,2009, Foreign Used  ," 5,162,000                                        
                                    "
 Honda Odyssey,258939,2007, Nigerian Used  ," 1,410,000                                        
                                    "
 Toyota Camry,191262,2005, Foreign Used  ," 2,362,000                                        
                                    "
 BMW 330XI,149130,2006, Foreign Used  ," 2,586,000                                        
                                    "
 Ford Explorer,43186,2011, Nigerian Used  ," 5,162,000                                        
                                    "
 Honda Accord,9413,2018, Foreign Used  ," 11,210,000                                        
                                    "
 Toyota Avalon,43089,2005, Nigerian Used  ," 1,018,000                                        
                                    "
 Toyota Venza,43839,2010, Nigerian Used  ," 4,882,000                                        
                                    "
 Nissan Pathfinder,97791,2002, Nigerian Used  ," 906,000                                        
                                    "
 Toyota Highlander,172070,2008, Nigerian Used  ," 3,594,000                                        
                                    "
 Toyota Fortuner,12552,2018, Nigerian Used  ," 21,290,000                                        
                                    "
 Mercedes-Benz C300,143685,2010, Foreign Used  ," 3,930,000                                        
                                    "
 Acura Rdx,43858,2008, Foreign Used  ," 3,146,000                                        
                                    "
 Mercedes-Benz CLS 350,195322,2005, Nigerian Used  ," 3,146,000                                        
                                    "
 Toyota Camry,127849,2007, Nigerian Used  ," 2,250,000                                        
                                    "
 Suzuki Forenza,99514,2007, Nigerian Used  ," 738,000                                        
                                    "
 Toyota Highlander,169390,2002, Nigerian Used  ," 1,802,000                                        
                                    "
 Lexus NX,9604,2017, Foreign Used  ," 17,930,000                                        
                                    "
 Toyota Camry,271856,2006, Nigerian Used  ," 1,690,000                                        
                                    "
 Mercedes-Benz CLA250,100158,2014, Nigerian Used  ," 7,626,000                                        
                                    "
 Hyundai Sonata,19714,2019, Nigerian Used  ," 8,410,000                                        
                                    "
 Nissan Sentra,287510,2012, Nigerian Used  ," 1,466,000                                        
                                    "
 Land Rover Range Rover Sport,112424,2007, Nigerian Used  ," 2,026,000                                        
                                    "
 Mini Cooper,129994,2012, Nigerian Used  ," 5,610,000                                        
                                    "
 Toyota Camry,209800,2003, Nigerian Used  ," 1,410,000                                        
                                    "
 Toyota Corolla,134594,2005, Nigerian Used  ," 1,690,000                                        
                                    "
 Hyundai Sonata,43044,2011, Nigerian Used  ," 3,930,000                                        
                                    "
 Honda Civic,101256,2004, Nigerian Used  ," 659,600                                        
                                    "
 Lexus Es 330,228502,2004, Nigerian Used  ," 1,802,000                                        
                                    "
 Toyota Corolla,157615,2000, Nigerian Used  ," 794,000                                        
                                    "
 Dodge Charger,105249,2008, Nigerian Used  ," 1,130,000                                        
                                    "
 Acura Tl,139505,2004, Nigerian Used  ," 1,018,000                                        
                                    "
 Toyota Corolla,131615,2002, Nigerian Used  ," 850,000                                        
                                    "
 Honda Accord,148147,2007, Nigerian Used  ," 1,242,000                                        
                                    "
 Ford Edge,91481,2012, Nigerian Used  ," 3,370,000                                        
                                    "
 Ford Ranger,111684,2012, Nigerian Used  ," 2,810,000                                        
                                    "
 Infiniti Qx,143177,2001, Nigerian Used  ," 1,242,000                                        
                                    "
 Volkswagen Sharan,231784,2000, Foreign Used  ," 1,970,000                                        
                                    "
 Ford Edge,108642,2008, Nigerian Used  ," 1,690,000                                        
                                    "
 Mercedes-Benz Ml350,81910,2014, Nigerian Used  ," 8,522,000                                        
                                    "
 Lexus Is 250,86331,2007, Nigerian Used  ," 2,362,000                                        
                                    "
 Nissan Xterra,154979,2007, Nigerian Used  ," 1,242,000                                        
                                    "
