car_name,model,Mileage,Year,Condition,Price
Lexus,LX,35751.0,2011,Foreign Used,42515000
Toyota,Landcruiser,52310.0,2011,Foreign Used,4415000
Pontiac,Vibe,193892.0,2006,Foreign Used,4645000
Toyota,Camry,282613.0,2006,Foreign Used,5515000
Toyota,Corolla,71584.0,2015,Foreign Used,5685000
Toyota,Camry,112019.0,2012,Foreign Used,5115000
Toyota,Camry,98697.0,2015,Foreign Used,7765000
Toyota,Highlander,106800.0,2013,Foreign Used,5315000
Lexus,LX,21204.0,2018,Foreign Used,6215000
Toyota,Camry,140309.0,2013,Foreign Used,9315000
Toyota,Venza,172709.0,2013,Foreign Used,4765000
