,car_name,model,Mileage,Year,Condition,Price
2348,20,97,71584.0,2015,0,6515000
2349,20,78,112019.0,2012,0,5680000
2350,20,78,98697.0,2015,0,8770000
2351,20,190,106800.0,2013,0,9285000
2352,12,211,21204.0,2018,0,6215000
2353,20,78,140309.0,2013,0,9315000
2354,20,355,172709.0,2013,0,4765000
2355,14,54,114936.0,2010,0,8265000
2356,20,215,123938.5,2012,0,8265000
2357,20,355,96091.0,2013,0,8265000
2358,20,78,75422.0,2009,0,10725000
2359,0,222,221505.0,2009,0,11315000
2360,20,78,176996.0,2012,0,8015000
2361,20,190,74479.0,2013,0,7015000
2362,20,78,116368.2,2010,0,8515000
2363,20,97,134462.0,2008,0,2815000
2364,20,190,20820.0,2016,0,15015000
2365,20,259,69601.0,2012,2,25015000
2366,11,146,82310.0,2010,0,3515000
2367,12,168,250414.9,2005,0,5815000
2368,12,211,31504.0,2017,2,42515000
2369,12,120,370921.0,2007,0,4415000
2370,12,120,194550.0,2008,0,4645000
2371,20,309,68326.0,2011,0,5515000
2372,1,265,201050.0,2008,0,5685000
2373,12,279,118888.0,2007,0,5115000
2374,12,279,137471.0,2010,0,7765000
2375,14,54,857506.0,2010,0,5315000
2376,12,120,72443.0,2011,0,50015000
2377,20,190,68453.0,2013,0,5015000
2378,12,279,57451.0,2004,0,7115000
2379,14,166,165901.0,2012,0,4815000
2380,20,309,68208.0,2012,0,8515000
2381,12,279,203162.0,2010,0,7615000
2382,12,279,109763.4,2013,0,3515000
2383,14,223,243717.0,2012,0,4215000
2384,20,275,83554.0,2013,0,4865000
2385,20,97,63380.0,2016,0,8815000
2386,8,301,146372.0,2013,0,4865000
2387,12,120,98219.0,2013,0,9015000
2388,20,190,48415.0,2016,0,13515000
2389,14,54,91406.0,2014,0,13015000
2390,14,54,48013.0,2015,0,13015000
2391,20,78,72283.0,2012,0,5015000
2392,12,211,35751.0,2011,0,30015000
2393,20,214,52310.0,2011,0,14515000
2394,18,358,193892.0,2006,0,2515000
2395,20,78,282613.0,2006,0,2797500
2396,20,97,71584.0,2015,0,6515000
2397,20,78,112019.0,2012,0,5680000
2398,20,78,98697.0,2015,0,8770000
2399,20,190,106800.0,2013,0,9285000
2400,12,211,21204.0,2018,0,6215000
