,car_name,model,Mileage,Year,Condition,Price
5487,lexus,GX,250414.9,2005,Foreign Used,5815000
5488,lexus,LX,31504.0,2017,Nigerian Used,42515000
5489,lexus,ES,370921.0,2007,Foreign Used,4415000
5490,lexus,ES,194550.0,2008,Foreign Used,4645000
5491,toyota,Sienna,68326.0,2011,Foreign Used,5515000
5492,audi,Q7,201050.0,2008,Foreign Used,5685000
5493,lexus,RX,118888.0,2007,Foreign Used,5115000
5494,lexus,RX,137471.0,2010,Foreign Used,7765000
5495,mercedes-benz,C,857506.0,2010,Foreign Used,5315000
5496,lexus,ES,72443.0,2011,Foreign Used,50015000
5497,toyota,Highlander,68453.0,2013,Foreign Used,5015000
5498,lexus,RX,57451.0,2004,Foreign Used,7115000
5499,mercedes-benz,GLK,165901.0,2012,Foreign Used,4815000
5500,toyota,Sienna,68208.0,2012,Foreign Used,8515000
5501,lexus,RX,203162.0,2010,Foreign Used,7615000
5502,lexus,RX,109763.4,2013,Foreign Used,10725000
5503,mercedes-benz,ML,243717.0,2012,Foreign Used,11315000
5504,toyota,RAV,83554.0,2013,Foreign Used,8015000
5505,toyota,Corolla,63380.0,2016,Foreign Used,7015000
5506,hyundai,Santa,146372.0,2013,Foreign Used,8515000
5507,lexus,ES,98219.0,2013,Foreign Used,9015000
5508,toyota,Highlander,48415.0,2016,Foreign Used,13515000
5509,mercedes-benz,C,91406.0,2014,Foreign Used,13015000
5510,mercedes-benz,C,48013.0,2015,Foreign Used,13015000
5511,toyota,Camry,72283.0,2012,Foreign Used,5015000
5512,lexus,LX,35751.0,2011,Foreign Used,30015000
5513,toyota,Landcruiser,52310.0,2011,Foreign Used,14515000
5514,pontiac,Vibe,193892.0,2006,Foreign Used,2515000
5515,toyota,Camry,282613.0,2006,Foreign Used,2797500
5516,toyota,Corolla,71584.0,2015,Foreign Used,6515000
5517,toyota,Camry,112019.0,2012,Foreign Used,5680000
5518,toyota,Camry,98697.0,2015,Foreign Used,8770000
5519,toyota,Highlander,106800.0,2013,Foreign Used,9285000
5520,lexus,LX,21204.0,2018,Foreign Used,6215000
5521,toyota,Camry,140309.0,2013,Foreign Used,9315000
5522,toyota,Venza,172709.0,2013,Foreign Used,4765000
5523,mercedes-benz,C,114936.0,2010,Foreign Used,4815000
5524,toyota,Lexus,123938.5,2012,Foreign Used,8515000
5525,toyota,Venza,96091.0,2013,Foreign Used,7615000
5526,toyota,Camry,75422.0,2009,Foreign Used,3515000
5527,acura,MDX,221505.0,2009,Foreign Used,4215000
5528,toyota,Camry,176996.0,2012,Foreign Used,4865000
5529,toyota,Highlander,74479.0,2013,Foreign Used,8815000
5530,toyota,Camry,116368.2,2010,Foreign Used,4865000
5531,toyota,Corolla,134462.0,2008,Foreign Used,2815000
5532,toyota,Highlander,20820.0,2016,Foreign Used,15015000
5533,toyota,Prado,69601.0,2012,Nigerian Used,25015000
5534,kia,Forte,82310.0,2010,Foreign Used,3515000
5535,lexus,GX,250414.9,2005,Foreign Used,5815000
5536,lexus,LX,31504.0,2017,Nigerian Used,42515000
5537,lexus,ES,370921.0,2007,Foreign Used,4415000
5538,lexus,ES,194550.0,2008,Foreign Used,4645000
5539,toyota,Sienna,68326.0,2011,Foreign Used,5515000
5540,audi,Q7,201050.0,2008,Foreign Used,5685000
5541,lexus,RX,118888.0,2007,Foreign Used,5115000
5542,lexus,RX,137471.0,2010,Foreign Used,7765000
5543,mercedes-benz,C,857506.0,2010,Foreign Used,5315000
5544,lexus,ES,72443.0,2011,Foreign Used,50015000
5545,toyota,Highlander,68453.0,2013,Foreign Used,5015000
5546,lexus,RX,57451.0,2004,Foreign Used,7115000
5547,mercedes-benz,GLK,165901.0,2012,Foreign Used,8265000
5548,toyota,Sienna,68208.0,2012,Foreign Used,8265000
5549,lexus,RX,203162.0,2010,Foreign Used,8265000
5550,lexus,RX,109763.4,2013,Foreign Used,10725000
5551,mercedes-benz,ML,243717.0,2012,Foreign Used,11315000
5552,toyota,RAV,83554.0,2013,Foreign Used,8015000
5553,toyota,Corolla,63380.0,2016,Foreign Used,7015000
5554,hyundai,Santa,146372.0,2013,Foreign Used,8515000
5555,lexus,ES,98219.0,2013,Foreign Used,9015000
5556,toyota,Highlander,48415.0,2016,Foreign Used,13515000
5557,mercedes-benz,C,91406.0,2014,Foreign Used,13015000
5558,mercedes-benz,C,48013.0,2015,Foreign Used,13015000
5559,toyota,Camry,72283.0,2012,Foreign Used,5015000
5560,lexus,LX,35751.0,2011,Foreign Used,30015000
5561,toyota,Landcruiser,52310.0,2011,Foreign Used,14515000
5562,pontiac,Vibe,193892.0,2006,Foreign Used,2515000
5563,toyota,Camry,282613.0,2006,Foreign Used,2797500
5564,toyota,Corolla,71584.0,2015,Foreign Used,6515000
5565,toyota,Camry,112019.0,2012,Foreign Used,5680000
5566,toyota,Camry,98697.0,2015,Foreign Used,8770000
5567,toyota,Highlander,106800.0,2013,Foreign Used,9285000
5568,lexus,LX,21204.0,2018,Foreign Used,6215000
5569,toyota,Camry,140309.0,2013,Foreign Used,9315000
5570,toyota,Venza,172709.0,2013,Foreign Used,4765000
5571,mercedes-benz,C,114936.0,2010,Foreign Used,8265000
5572,toyota,Lexus,123938.5,2012,Foreign Used,8265000
5573,toyota,Venza,96091.0,2013,Foreign Used,8265000
5574,toyota,Camry,75422.0,2009,Foreign Used,10725000
5575,acura,MDX,221505.0,2009,Foreign Used,4215000
5576,toyota,Camry,176996.0,2012,Foreign Used,4865000
5577,toyota,Highlander,74479.0,2013,Foreign Used,8815000
5578,toyota,Camry,116368.2,2010,Foreign Used,4865000
5579,toyota,Corolla,134462.0,2008,Foreign Used,2815000
5580,toyota,Highlander,20820.0,2016,Foreign Used,15015000
5581,toyota,Prado,69601.0,2012,Nigerian Used,25015000
5582,kia,Forte,82310.0,2010,Foreign Used,3515000
5583,lexus,GX,250414.9,2005,Foreign Used,5815000
5584,lexus,LX,31504.0,2017,Nigerian Used,42515000
5585,lexus,ES,370921.0,2007,Foreign Used,4415000
5586,lexus,ES,194550.0,2008,Foreign Used,4645000
5587,toyota,Sienna,68326.0,2011,Foreign Used,5515000
5588,audi,Q7,201050.0,2008,Foreign Used,5685000
5589,lexus,RX,118888.0,2007,Foreign Used,5115000
5590,lexus,RX,137471.0,2010,Foreign Used,7765000
5591,mercedes-benz,C,857506.0,2010,Foreign Used,5315000
5592,lexus,ES,72443.0,2011,Foreign Used,50015000
5593,toyota,Highlander,68453.0,2013,Foreign Used,5015000
5594,lexus,RX,57451.0,2004,Foreign Used,7115000
5595,mercedes-benz,GLK,165901.0,2012,Foreign Used,4815000
5596,toyota,Sienna,68208.0,2012,Foreign Used,8265000
5597,lexus,RX,203162.0,2010,Foreign Used,8265000
5598,lexus,RX,109763.4,2013,Foreign Used,10725000
5599,mercedes-benz,ML,243717.0,2012,Foreign Used,11315000
5600,toyota,RAV,83554.0,2013,Foreign Used,8015000
5601,toyota,Corolla,63380.0,2016,Foreign Used,7015000
5602,hyundai,Santa,146372.0,2013,Foreign Used,8515000
5603,lexus,ES,98219.0,2013,Foreign Used,9015000
5604,toyota,Highlander,48415.0,2016,Foreign Used,13515000
5605,mercedes-benz,C,91406.0,2014,Foreign Used,13015000
5606,mercedes-benz,C,48013.0,2015,Foreign Used,13015000
5607,toyota,Camry,72283.0,2012,Foreign Used,5015000
5608,lexus,LX,35751.0,2011,Foreign Used,30015000
5609,toyota,Landcruiser,52310.0,2011,Foreign Used,14515000
5610,pontiac,Vibe,193892.0,2006,Foreign Used,2515000
5611,toyota,Camry,282613.0,2006,Foreign Used,2797500
5612,toyota,Corolla,71584.0,2015,Foreign Used,6515000
5613,toyota,Camry,112019.0,2012,Foreign Used,5680000
5614,toyota,Camry,98697.0,2015,Foreign Used,8770000
5615,toyota,Highlander,106800.0,2013,Foreign Used,9285000
5616,lexus,LX,21204.0,2018,Foreign Used,6215000
5617,toyota,Camry,140309.0,2013,Foreign Used,9315000
5618,toyota,Venza,172709.0,2013,Foreign Used,4765000
5619,mercedes-benz,C,114936.0,2010,Foreign Used,8265000
5620,toyota,Lexus,123938.5,2012,Foreign Used,8265000
5621,toyota,Venza,96091.0,2013,Foreign Used,7615000
5622,toyota,Camry,75422.0,2009,Foreign Used,3515000
5623,acura,MDX,221505.0,2009,Foreign Used,4215000
5624,toyota,Camry,176996.0,2012,Foreign Used,4865000
5625,toyota,Highlander,74479.0,2013,Foreign Used,8815000
5626,toyota,Camry,116368.2,2010,Foreign Used,4865000
5627,toyota,Corolla,134462.0,2008,Foreign Used,2815000
5628,toyota,Highlander,20820.0,2016,Foreign Used,15015000
5629,toyota,Prado,69601.0,2012,Nigerian Used,25015000
5630,kia,Forte,82310.0,2010,Foreign Used,3515000
5631,lexus,GX,250414.9,2005,Foreign Used,5815000
5632,lexus,LX,31504.0,2017,Nigerian Used,42515000
